"","LGA","STE_NAME16","xcoord","ycoord","PCTUNEMPLD","PCTNODIPLOMA","PCTPOV50","PCTINGP","PCTHFOFMNOHS","POPO_9PCT","PCTFORBRN","PCTEMPFEMA","PCTLABFORCE","PCTFEMALESEPARATED","PCTMBLHM","MED_MTMRG","MED_GRRNT","INDP_fishing","EETP","POPDENS"
"1","Albany (C)","Western Australia",118.233881830782,-34.9148714540544,5.118624,54.9361,42.66937,3.5132546,3.154298,11.693317,18.320924,95.67148,60.44094,3.833573204,2.002741849,1625,280,0.265621047,40.2443947,21.9861778846154
"2","Alexandrina (DC)","South Australia",138.862139344456,-35.4296288493919,5.835048,57.73362,48.32893,1.6011224,2.891268,9.872058,16.3837331,94.91948,52.44985,3.058781807,1.441899915,1354,250,0.150496639,32.50421167,36.6964539007092
"3","Ashburton (S)","Western Australia",115.513633966335,-21.5170334573282,1.970967,47.96703,11.61461,9.4414282,0.660218,10.271764,21.2062257,95.5898,91.55051,4.061826024,18.89016676,1500,30,0,76.38332431,0.334643545279383
"4","Augusta-Margaret River (S)","Western Australia",115.001558542693,-34.0324808362215,4.688797,41.98565,38.28771,1.4712609,2.889809,14.918987,19.8651372,95.58314,70.39237,3.393425239,3.051245273,1733,300,0.33635566,41.39553116,17.4078144078144
"5","Ballina (A)","New South Wales",153.518602729233,-28.8688088653368,5.83859,53.92428,42.45,3.5232154,3.592112,10.819413,9.8636458,95.00491,57.62528,3.593205575,4.007593335,1733,340,0.156612529,37.69110276,223.454545454545
"6","Barunga West (DC)","South Australia",137.918520927499,-33.6244125369089,5.906736,68.07967,52.08122,2.0631579,2.084972,9.244689,7.9584775,95.35963,47.51354,2.712815716,1.937567277,800,170,2.428256071,30.09514271,4.1400651465798
"7","Bass Coast (S)","Victoria",145.502283572729,-38.5728352069792,6.377418,59.0022,49.48735,0.9814219,3.444492,10.860818,13.9998662,94.10579,52.77657,4.10173992,1.152289007,1322,250,0.169889168,31.69505725,98.2215568862275
"8","Bayside (C)","Victoria",145.005322337057,-37.9550008776884,4.596843,26.95175,34.21485,0.2041193,2.645944,11.913443,24.7437886,95.20981,64.80481,2.464965864,0.017132927,2500,450,0.006577938,49.6394036,6935.14285714286
"9","Bayswater (C)","Western Australia",115.917664050656,-31.9309958222993,7.75293,36.14851,38.38252,1.3931635,3.115626,11.23017,38.8572186,92.64599,69.31314,3.023483721,0.053709298,2000,350,0.018688096,51.5427325,4974.92307692308
"10","Bega Valley (A)","New South Wales",149.877293943961,-36.8907729386202,5.364591,57.75054,47.17552,3.395122,3.070307,10.031876,11.3241798,95.0904,53.79705,3.733462631,2.701764536,1343,250,0.468906142,33.60244552,13.7186468646865
"11","Bellingen (A)","New South Wales",153.000699519767,-30.4591238498858,7.211995,55.50042,48.87297,3.794245,4.09629,11.136543,11.2253642,93.84975,53.9746,3.866691217,3.081279147,1430,280,0,32.83241787,20.5016181229773
"12","Belmont (C)","Western Australia",115.918087601662,-31.9474165435386,8.789484,38.97823,38.89748,2.7665562,3.22036,11.840746,40.6218317,91.2834,68.50576,3.668884683,0.321298263,1977.5,350,0,52.08939076,2645.66666666667
"13","Botany Bay (C)","New South Wales",151.193832755278,-33.9545434716039,5.552357,31.74092,39.1329,1.8460697,3.391138,11.941866,44.4231435,94.37544,67.57455,2.972269036,0.032235534,2400,460,0,57.40564984,5831.375
"14","Break O'Day (M)","Tasmania",148.237323165132,-41.4599280358501,10.97786,67.93746,60.40254,4.0671972,2.719528,9.485583,12.0915033,90.22346,44.98859,3.3655706,3.554661301,910,195,2.190923318,23.92314189,4.48493754592212
"15","Brighton (M)","Tasmania",147.257009148654,-42.7458208800296,7.912271,68.18701,45.36649,10.0480957,5.765504,16.236676,4.3756178,93.51351,61.13893,4.063068526,0.229533282,1300,220,0,42.36415143,250.181818181818
"16","Brisbane (C)","Queensland",153.046275019777,-27.4429612157874,6.822525,28.01198,36.52149,1.5925483,2.915339,12.031773,27.372755,93.4795,69.85168,2.81222265,0.474410238,2000,390,0.006548684,56.73340157,2183.69691119691
"17","Broome (S)","Western Australia",122.134725808849,-18.3059003352323,6.461422,46.96853,31.45883,31.5382491,3.693655,16.62453,14.1289051,94.55624,73.04951,3.881610869,28.19505431,2500,261,0.425590335,53.28941176,0.772642812901996
"18","Bunbury (C)","Western Australia",115.663094878227,-33.3246916528975,8.851086,57.43559,41.78775,3.8331872,4.138471,11.826441,19.2907608,91.98489,61.79019,4.255162242,1.274962597,1603,300,0.03681343,40.83063873,1276.8
"19","Bundaberg (R)","Queensland",152.178538322286,-24.9449756149327,10.544612,61.89031,51.19956,4.281886,3.812948,11.354878,10.4334206,90.6048,53.72839,4.456164488,4.371209521,1312.5,260,0.143232275,35.86332066,37.3969404186795
"20","Burdekin (S)","Queensland",147.344586134044,-19.6873569485643,5.7727,62.29885,41.51875,6.1763408,2.852123,11.24451,7.7749361,94.26295,64.25315,3.057708872,5.059451589,1300,210,0.19384854,45.69086651,8.76990241397021
"21","Burnie (C)","Tasmania",145.8410178421,-41.0394945143603,8.880952,68.38136,48.4487,7.3583847,4.403514,12.072616,7.8529278,92.50367,57.84327,3.89047206,0.124420314,1083,200,0.052742616,40.00139645,80.0593220338983
"22","Busselton (C)","Western Australia",115.332725525163,-33.6493400335157,5.704403,51.90003,39.87003,1.7720335,2.95737,13.437636,16.9002449,94.73555,63.19046,3.431210822,3.175882637,1870,350,0.075287032,39.77976857,65.397504456328
"23","Byron (A)","New South Wales",153.564670801417,-28.5809178352898,6.554101,40.74931,42.49944,2.0763126,4.002408,10.780834,17.5871077,93.78004,63.23542,3.680221542,5.894654294,1733,400,0.112426923,36.0252809,144.752293577982
"24","Cairns (R)","Queensland",145.921815156945,-17.2173190114631,7.7178,44.84839,37.79548,9.8514492,4.056087,13.665392,18.225015,93.04856,69.49501,4.095718042,2.487087686,1653,300,0.159335821,49.91980897,240.644171779141
"25","Cambridge (T)","Western Australia",115.755233049666,-31.9375709294547,5.309022,22.46043,32.05246,0.2987421,1.986409,13.58375,28.8380351,94.90926,68.35861,1.8595791,0.102430394,2900,450,0.03895598,51.9126506,3347.75
