"","fid","LGA_CODE16","LGA_NAME16","STE_CODE16","STE_NAME16","AREASQKM16","Xcentroid","Ycentroid","HubName","HubDist","vertex_index","vertex_part","vertex_part_index","distance","angle","xcoord","ycoord"
"1",1,10250,"Ballina (A)",1,"New South Wales",484.9389,153.486147368124,-28.8528863578048,8323,3625.18236058429,1,0,1,0.03615074979656,116.132437164367,153.518602729233,-28.8688088653368
"2",2,10550,"Bega Valley (A)",1,"New South Wales",6278.8811,149.717569542282,-36.8259429950978,8323,15957.5288593597,1,0,1,0.17237983080655,112.091558680792,149.877293943961,-36.8907729386202
"3",3,10600,"Bellingen (A)",1,"New South Wales",1600.4337,152.7285906561,-30.4038023387787,8323,26850.2467003247,1,0,1,0.27767553597243,101.491980225017,153.000699519767,-30.4591238498858
"4",4,11100,"Botany Bay (C)",1,"New South Wales",21.6826,151.201597033182,-33.9423189154455,8323,1534.20504936672,1,0,1,0.01448184327502,212.421174226485,151.193832755278,-33.9545434716039
"5",5,11350,"Byron (A)",1,"New South Wales",565.8029,153.48250524813,-28.6041665972679,8323,8440.2327748384,1,0,1,0.08539135249248,74.2011272741765,153.564670801417,-28.5809178352898
"6",6,11520,"Canada Bay (A)",1,"New South Wales",19.9233,151.114825218656,-33.8534983160843,8323,110.806007698709,1,0,1,0.00100064621808,353.983989763976,151.114720344569,-33.8525031807772
"7",7,11650,"Central Coast (C) (NSW)",1,"New South Wales",1681.0695,151.285487621674,-33.3079897580865,8323,14030.2421449236,1,0,1,0.12790758122311,164.219608475807,151.320272207197,-33.4310766458705
"8",8,11730,"Clarence Valley (A)",1,"New South Wales",10428.6803,152.75115199511,-29.6817380805878,8323,10074.3029402483,1,0,1,0.10136339844368,65.3941546938196,152.843310951839,-29.6395330425159
"9",9,11800,"Coffs Harbour (C)",1,"New South Wales",1173.7437,153.039834566091,-30.1890386353588,8323,11328.81358463,1,0,1,0.11744755747872,95.8295291575038,153.156674742846,-30.2009676694223
"10",10,12750,"Eurobodalla (A)",1,"New South Wales",3428.1695,149.947049392371,-35.9451565075518,8323,12003.7726422409,1,0,1,0.12850661481986,68.0967498131346,150.066279769296,-35.8972183466493
"11",11,12930,"Georges River (A)",1,"New South Wales",38.3459,151.086364158472,-33.9710383092559,8323,3744.8238058496,1,0,1,0.03794456054743,124.395662435329,151.117674350392,-33.9924733636547
"12",12,13800,"Hawkesbury (C)",1,"New South Wales",2775.1377,150.77324198425,-33.3347788438714,8323,15320.8914433266,1,0,1,0.15067639793012,132.791989191814,150.883812069872,-33.4371391538488
"13",13,14000,"Hornsby (A)",1,"New South Wales",455.0375,151.08941419988,-33.5839304411795,8323,1963.97416878961,1,0,1,0.02097324864283,101.691277059956,151.109952330636,-33.5881804227883
"14",14,14100,"Hunters Hill (A)",1,"New South Wales",5.7169,151.145128970036,-33.8333518368713,8323,412.753778550313,1,0,1,0.00413950440697,232.657749059085,151.141837954758,-33.8358627560612
"15",15,14170,"Inner West (A)",1,"New South Wales",35.3713,151.154974029127,-33.8915043892315,8323,2210.77184067227,1,0,1,0.0200771638356,347.397625379455,151.150593519476,-33.8719109300453
"16",16,14350,"Kempsey (A)",1,"New South Wales",3375.6707,152.644733120418,-30.9515465960927,8323,23078.5628622769,1,0,1,0.2330231652716,117.776939855661,152.85090470309,-31.0601425170634
"17",17,14400,"Kiama (A)",1,"New South Wales",257.6636,150.756224255936,-34.6788706513031,8323,9255.87790249361,1,0,1,0.09546458642931,120.481724497077,150.838494777812,-34.727296352045
"18",18,14500,"Ku-ring-gai (A)",1,"New South Wales",85.4096,151.150908266204,-33.734610203596,8323,6176.9220854396,1,0,1,0.06258601559596,123.892303320711,151.202860116702,-33.7695102691836
"19",19,14650,"Lake Macquarie (C)",1,"New South Wales",648.6398,151.530182064596,-33.0388570974722,8323,3263.99110450003,1,0,1,0.03069667660496,148.188450177831,151.546363114967,-33.0649427173324
"20",20,14700,"Lane Cove (A)",1,"New South Wales",10.4794,151.166895320844,-33.8199935112887,8323,974.25871967997,1,0,1,0.00933265012202,217.847426330911,151.16116917172,-33.8273630142917
"21",22,15050,"Maitland (C)",1,"New South Wales",391.5087,151.549755674096,-32.7108137361844,8323,16190.2395839894,1,0,1,0.1651108701149,119.118570098458,151.693998932805,-32.7911597488234
