"","LGA","State","Longitude","Latitude","cumi_mean","INDP_fishing","PC1_scores_pd","PC1_scores_pc","PC1_scores_lf","PC1_scores_hc","Hazard","Vulnerability","Exposure","Risk","RiskCategoryM1","RiskCategoryM2"
"1","Albany (C)","Western Australia",118.233881830782,-34.9148714540544,91.3019636111111,0.265621047,0.140199577005502,-0.128069965486226,0.227099366786583,0.0231773582010658,2,2,4,16,"Medium-high","Moderate"
"2","Alexandrina (DC)","South Australia",138.862139344456,-35.4296288493919,135.907965185185,0.150496639,0.258153204021566,-0.503309440610123,1.12905779070722,0.333207432370399,3,2,3,18,"Medium-high","Moderate"
"3","Ashburton (S)","Western Australia",115.513633966335,-21.5170334573282,102.9028432,0,-1.64686506752587,-1.04837502902649,-3.32616090086354,1.67796777261903,3,1,1,3,"Low","Low"
"4","Augusta-Margaret River (S)","Western Australia",115.001558542693,-34.0324808362215,77.446221300813,0.33635566,-0.543240431157597,0.167151513736327,-0.409980581606608,-0.105993102730906,2,1,4,8,"Medium","Moderate"
"5","Ballina (A)","New South Wales",153.518602729233,-28.8688088653368,72.0303301724138,0.156612529,0.100967962745744,0.076510791367387,0.569127552385301,-0.236352228368708,2,2,3,12,"Medium-high","Moderate"
"6","Barunga West (DC)","South Australia",137.918520927499,-33.6244125369089,153.78276875,2.428256071,0.541403734713964,-0.661757382791593,1.50033646352909,1.09585252134651,4,3,4,48,"High","High"
"7","Bass Coast (S)","Victoria",145.502283572729,-38.5728352069792,72.4710766071429,0.169889168,0.761804235575124,-0.138039387052124,1.21396733263053,0.348240075103985,2,3,3,18,"Medium-high","Moderate"
"8","Bayside (C)","Victoria",145.005322337057,-37.9550008776884,76.09781625,0.006577938,-1.39450449349539,-0.510818868159728,-0.440414396642791,-1.39674351308734,2,1,1,2,"Low","Low"
"9","Bayswater (C)","Western Australia",115.917664050656,-31.9309958222993,52.4492183333333,0.018688096,-0.469844108521593,-0.735543261950094,-0.590517466109784,-0.60957813251017,1,1,2,2,"Low","Low"
"10","Bega Valley (A)","New South Wales",149.877293943961,-36.8907729386202,241.981296590909,0.468906142,0.393616738945071,-0.250932545619055,0.983246067554697,0.382638604764864,4,2,4,32,"High","High"
