Supporting Information,Data Series,Year,Community Name,State,Region,Latitude,Longitude,Poverty,Labor Force,Housing Characteristics,Population Composition,Personal Disruption,Housing Disruption,Retiree Migration,Urban Sprawl,Commercial Engagement,Commercial Reliance,Recreational Engagement,Recreational Reliance,Sea Level Rise Risk,Storm Surge Risk,Poverty Categorical Ranking,Labor Force Categorical Ranking,Housing Characteristics Categorical Ranking,Population Composition Categorical Ranking,Personal Disruption Categorical Ranking,Housing Disruption Categorical Ranking,Retiree Migration Categorical Ranking,Urban Sprawl Categorical Ranking,Commercial Engagement Categorical Ranking,Commercial Reliance Categorical Ranking,Recreational Engagement Categorical Ranking,Recreational Reliance Categorical Ranking,Sea Level Rise Risk Categorical Ranking,Storm Surge Risk Categorical Ranking
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Kalawao, HI,Pacific Islands,21.2187644,-156.9740097,N/A,-1.768,N/A,-0.23,-0.541,N/A,-0.962,N/A,-0.182,-0.12,N/A,N/A,-0.261,N/A,0,1,0,1,1,0,1,0,1,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Eleele-Kalaheo, HI,Pacific Islands,21.9153614,-159.5286533,-0.487,-0.221,-0.23,0.847,-0.709,1.822,0.343,-1.217,-0.022,-0.106,N/A,N/A,-0.294,N/A,1,1,1,3,1,4,2,1,1,1,1,2,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Kaumakani-Hanapepe, HI,Pacific Islands,22.0053299,-159.5992211,-0.513,-0.159,0.369,0.905,-0.453,0.72,0.499,-1.428,-0.102,-0.103,N/A,N/A,-0.244,N/A,1,1,2,3,1,3,2,1,1,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Lihue, HI,Pacific Islands,21.9654253,-159.3325817,-0.19,-0.569,-0.209,0.774,-0.466,1.005,0.199,-0.973,0.275,-0.066,N/A,N/A,-0.266,N/A,1,1,1,3,1,4,2,1,2,1,2,4,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Wailua-Anahola, HI,Pacific Islands,22.1270048,-159.3440621,-0.482,-0.373,-0.084,0.226,-0.295,1.087,-0.103,-1.029,-0.074,-0.113,N/A,N/A,-0.098,N/A,1,1,1,2,1,4,1,1,1,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Puunene, HI,Pacific Islands,20.8626426,-156.4599141,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.182,N/A,N/A,N/A,-0.309,N/A,0,0,0,0,0,0,0,0,1,0,0,0,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Hanalei, HI,Pacific Islands,22.1999113,-159.4985796,-0.103,0.121,-0.47,-0.192,-0.661,1.673,0.13,-0.473,0.095,-0.084,N/A,N/A,-0.017,N/A,1,2,1,1,1,4,2,1,2,1,1,4,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Kapaa, HI,Pacific Islands,22.0904889,-159.3064559,0.105,-0.214,0.138,0.525,-0.433,1.106,-0.263,-1.04,0.184,-0.084,N/A,N/A,-0.034,N/A,2,1,2,3,1,4,1,1,2,1,1,4,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Niihau, HI,Pacific Islands,21.8660331,-160.2320721,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.182,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0,0,0,0,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Koolauloa, HI,Pacific Islands,21.6388981,-157.9509804,-0.346,-0.165,-0.605,0.695,-0.58,1.369,-0.052,1.164,0.002,-0.112,N/A,N/A,-0.028,N/A,1,1,1,3,1,4,1,4,2,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Waialua, HI,Pacific Islands,21.5800225,-158.1234063,-0.393,-0.418,-0.808,0.79,-0.32,1.88,-0.587,1.087,-0.066,-0.112,N/A,N/A,-0.249,N/A,1,1,1,3,1,4,1,4,1,1,2,4,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Honolulu, HI,Pacific Islands,21.3178503,-157.9462169,-0.144,-0.209,-0.063,1.107,-0.405,-0.343,-0.006,1.745,5.566,-0.104,N/A,N/A,0.31,N/A,1,1,1,4,1,1,1,4,4,1,4,1,2,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Waianae, HI,Pacific Islands,21.4613654,-158.201974,0.995,0.111,0.134,1.391,0.936,0.544,0.058,0.701,0.282,-0.112,N/A,N/A,-0.266,N/A,3,2,2,4,3,3,2,3,2,1,3,2,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Koolaupoko, HI,Pacific Islands,21.4369085,-157.7454633,-0.565,-0.263,-1.159,0.488,-0.75,0.62,0.179,1.531,0.907,-0.111,N/A,N/A,0.111,N/A,1,1,1,2,1,3,2,4,3,1,3,1,2,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,North Kohala, HI,Pacific Islands,20.176362,-155.8227292,0.149,0.05,0.402,0.592,-0.075,-0.46,0.428,-2.003,-0.039,-0.102,N/A,N/A,-0.28,N/A,2,2,2,3,1,1,2,1,1,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Pahoa-Kalapana, HI,Pacific Islands,19.427903,-155.0891095,1.595,0.812,0.585,0.495,0.955,1.294,0.551,-2.97,-0.019,-0.106,N/A,N/A,-0.219,N/A,4,3,3,2,3,4,3,1,1,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,South Kona, HI,Pacific Islands,19.3372688,-155.8376215,0.203,0.418,0.231,0.685,-0.299,0.391,0.533,-2.112,0.233,-0.09,N/A,N/A,-0.252,N/A,2,2,2,3,1,2,3,1,2,1,1,2,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Kau, HI,Pacific Islands,19.2356053,-155.5438316,1.465,1.232,0.951,0.589,0.795,0.48,0.975,-2.832,0.115,-0.089,N/A,N/A,-0.222,N/A,4,4,3,3,3,2,3,1,2,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,North Kona, HI,Pacific Islands,19.6685679,-155.9187231,0.057,-0.283,0.08,0.254,-0.042,0.553,-0.092,-1.97,1.834,-0.08,N/A,N/A,-0.21,N/A,2,1,2,2,1,3,1,1,4,1,4,4,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,South Kohala, HI,Pacific Islands,19.936748,-155.7519126,-0.261,-0.639,-0.237,0.429,-0.275,0.553,-0.475,-2.111,0.318,-0.098,N/A,N/A,-0.251,N/A,1,1,1,2,1,3,1,1,2,1,2,2,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Honokaa-Kukuihaele, HI,Pacific Islands,20.1072972,-155.5725782,0.017,0.164,0.325,1.071,-0.038,1.625,1.173,-2.335,-0.132,-0.111,N/A,N/A,-0.3,N/A,2,2,2,4,1,4,4,1,1,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Hilo, HI,Pacific Islands,19.6869881,-155.2335958,0.369,0.356,0.383,0.641,-0.092,-0.063,0.481,-2.85,0.641,-0.105,N/A,N/A,-0.254,N/A,2,2,2,3,1,1,2,1,3,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Keaau-Mountain View, HI,Pacific Islands,19.5585499,-155.0949534,1.172,0.544,0.515,0.579,0.32,0.33,0.061,-3.038,0.105,-0.113,N/A,N/A,-0.294,N/A,4,3,3,3,2,2,2,1,2,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,North Hilo, HI,Pacific Islands,19.617504,-155.4204305,0.45,0.494,0.573,0.623,-0.006,2.407,0.588,-2.437,-0.17,-0.114,N/A,N/A,-0.302,N/A,2,2,3,3,1,4,3,1,1,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Paauhau-Paauilo, HI,Pacific Islands,19.8281713,-155.4950401,-0.127,-0.541,0.203,1.024,-0.261,1.432,0.158,-2.256,-0.083,-0.095,N/A,N/A,-0.307,N/A,1,1,2,4,1,4,2,1,1,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Papaikou-Wailea, HI,Pacific Islands,19.8307533,-155.1516688,1.011,0.563,0.278,0.519,-0.047,1.457,0.769,-2.593,-0.15,-0.114,N/A,N/A,-0.297,N/A,4,3,2,3,1,4,3,1,1,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Kekaha-Waimea, HI,Pacific Islands,22.0723781,-159.7347792,-0.394,-0.148,0.131,0.693,-0.551,0.875,0.053,-2.147,0.049,-0.082,N/A,N/A,0.407,N/A,1,1,2,3,1,3,2,1,2,1,1,1,2,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Koloa-Poipu, HI,Pacific Islands,21.8805412,-159.4452894,-0.183,-0.201,0.045,0.443,-0.374,1.244,0.104,-1.036,0.227,-0.065,N/A,N/A,-0.291,N/A,1,1,2,2,1,4,2,1,2,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Puhi-Hanamaulu, HI,Pacific Islands,21.9919132,-159.3989062,-0.23,-0.766,0.029,0.934,-0.697,1.139,-0.251,-1.303,-0.103,-0.114,N/A,N/A,-0.208,N/A,1,1,2,3,1,4,1,1,1,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Haiku-Pauwela, HI,Pacific Islands,20.919112,-156.2595519,-0.522,-0.583,-0.443,-0.021,-0.666,1.777,-0.352,-0.7,0.014,-0.102,N/A,N/A,-0.302,N/A,1,1,1,1,1,4,1,1,2,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Makawao-Paia, HI,Pacific Islands,20.8766882,-156.3408796,-0.243,-0.619,-0.212,0.349,-0.46,1.178,-0.431,-0.889,0.172,-0.104,N/A,N/A,-0.304,N/A,1,1,1,2,1,4,1,1,2,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Waihee-Waikapu, HI,Pacific Islands,20.9497481,-156.5293984,-0.833,-1.036,-0.261,0.734,-0.619,-0.797,-0.333,-1.003,-0.014,-0.101,N/A,N/A,-0.29,N/A,1,1,1,3,1,1,1,1,1,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Wahiawa, HI,Pacific Islands,21.5011889,-158.0264599,-0.067,-0.457,-0.763,1.065,-0.429,0.168,-0.963,1.101,0.096,-0.114,N/A,N/A,-0.309,N/A,1,1,1,4,1,2,1,4,2,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Ewa, HI,Pacific Islands,21.3682481,-158.0214964,-0.49,-0.545,-0.733,1.012,-0.634,0.083,-0.196,1.28,1.643,-0.115,N/A,N/A,0.101,N/A,1,1,1,4,1,2,1,4,4,1,2,1,2,0
