"","year","Community.Name","PCTUNEMPLD","PCTNODIPLOMA","PCTPOV","PCTFEMALESEPARATD","POPWNPCT","PCTHFOFMNOHS","POP0_5PCT","PCTSPKENGNTWL","PCTFORBRN","PUBLICASSIST","PCT65POV","PCTFMINPOV","PCTCHLDPOV","PCTEMPFEMA","PCTLABFORCE","PCTRECSOC","MED_GRRNT","MED_MTMRG","HUMNR","PCTMBLHM","PCTAGRFRFSH","POPDENS"
"1","2016","Abbeville, LA",9,17.4,29,2.9,43.8,23.1,10.6,7.2,5.2,2.2,19.2,23.6,35.8,42.5,57.1,32.8,647,884,4.9,14.2,13.9,2047.1
"2","2016","Aberdeen Gardens, WA",3.9,8.7,1.9,0,71.6,6.7,4.9,0,0.8,0,0,0,0,52.6,55.6,54.8,972,1375,6.4,23.1,0,162.6
"3","2016","Aberdeen, WA",4.9,8,21.6,1.1,72.9,15.6,8,8.4,9.2,4.4,7.1,14.6,27.5,47.5,57,38.1,720,1167,5.6,5.2,4.8,1533.4
"4","2016","Abington, MA",4.8,2.8,3.2,2.6,91.7,12.2,5.1,3.2,6.9,0.5,2.9,1.8,3.1,64.6,71,29.1,1111,2029,5.6,0,0,1627.5
"5","2016","Abita Springs, LA",3.1,3.2,6.6,2.4,91.9,13.8,4.8,4.1,6.7,1.1,8.6,2.1,5.7,65.7,70.3,26.6,1009,1346,5.6,0,2.4,553.2
"6","2016","Absecon, NJ",8.5,8.9,6.1,1.5,74.1,13,5.3,9.8,11.1,1.8,5.2,3,5.5,52.5,66.2,36.2,1260,1962,6.5,0.4,0.5,1563.1
"7","2016","Acton, CA",7.2,5.8,7.4,0.5,79.6,7.2,4.9,5.1,8.9,0.4,5.2,2.2,0.9,51.9,64.2,33.3,1746,2425,6.3,7.1,0.4,182.6
"8","2016","Acushnet, MA",4.8,9,4.5,1.2,92.6,8.5,4.6,7.3,12.5,2.4,7.6,2.5,1.9,59.4,68.1,40.3,766,1627,5.8,5.7,4.1,564.6
"9","2016","Addison, ME",5.2,6.8,11.7,0,94.8,10.6,4.8,1.1,3.2,2,10.4,5.4,2.3,49.4,60,38.3,577,1300,5.3,13.3,22.1,28.7
"10","2016","Agoura Hills, CA",3.5,2,6.1,0.9,76.8,12.1,4.4,5.8,17.6,1.5,4,4.9,9.6,56.8,65.3,24.3,1998,2825,6.4,0,0,2654.8
"11","2016","Agua Dulce, CA",2.4,3.7,7.9,1.1,71.4,2.4,5.9,2.9,9.1,0,4,4.8,9.2,52.4,58,34.1,2019,2664,6.6,1.8,1.9,155
"12","2016","Agua Dulce, TX",2.9,10.6,17.6,6,31,20.8,10.6,11.2,3.3,0,12.1,13.5,26.1,52.3,60,31.1,691,1053,5.4,10,25.7,2471.1
"13","2016","Aguanga, CA",14,10,7.1,8.8,66.1,19.7,0,1.5,5.1,18.5,0,0,0,47.8,62.6,33.6,0,1896,4,64.4,11.4,49.7
"14","2016","Akutan, AK",0,10.1,16.6,5.4,11.8,9.3,0.8,63.4,70.1,7.4,7.7,14.8,11.8,94,97.3,25.9,338,325,4.7,0,0.5,12
"15","2016","Alakanuk, AK",17.1,17.1,43.6,1.3,4.6,18.2,11.9,6.6,0.4,14.3,26.3,39.8,46.5,33.6,50.8,27.3,728,588,4,1.8,0.7,25.2
"16","2016","Alameda, CA",4.2,4.4,9.5,1.9,43,11.1,5.9,15.4,26.6,2.5,8,6.9,10.6,58.4,67.8,23.8,1478,2760,4.8,0.2,0.3,7413
"17","2016","Alamo, CA",2.4,0.7,2.3,0.8,81.6,3.5,4.4,3.5,11.6,0.2,3.8,1.2,1.5,42.6,55.5,35.2,2911,4000,8.1,0,0.8,1662.8
"18","2016","Albany, CA",4.2,2.5,10.5,0.8,48.6,13.4,7.7,14.4,29.8,1.7,5.8,8,9.4,58.3,68.4,19.9,1653,2985,4.5,0.1,0.1,10860.1
"19","2016","Albertson, NY",3.1,4.3,1.9,0,66.5,5.8,5.7,13.1,27,2.1,2.4,0.5,2.2,56.3,61,41.5,2000,3081,6.7,0,0,7630.4
"20","2016","Aldan, PA",5.2,3.5,4.7,0.4,73.5,16.2,4.8,0.8,4,1.7,4.8,2.3,3.9,56.7,66.6,36.2,986,1668,6.6,0,0,6950
"21","2016","Alderwood Manor, WA",4.8,4.1,7.4,0,62.4,6.7,7.4,10.9,23.9,2.1,10.9,3,6.6,64.9,71.5,21.6,1268,2058,5.9,0.8,0.5,4623.2
"22","2016","Aldine, TX",3.6,17.5,37,3.7,9.8,19.7,10.8,63.8,41.5,1.2,18.4,34.1,51.3,39.6,60.7,15.5,827,1117,5.7,32.1,1.3,1881.7
"23","2016","Alhambra, CA",3.7,7.4,15.4,1.4,9.1,16,5.4,35,49.8,2.5,17,12.4,17.9,52.8,61.5,27.1,1235,2171,4,0.1,0.3,11121.2
"24","2016","Aliso Viejo, CA",4.5,1.8,4.8,1,60.7,10.2,7.1,8.5,21.4,0.9,8,4.1,4.6,64.8,76.2,13.5,1933,2666,5,0.1,0.1,7257.7
"25","2016","Allenhurst, GA",6.5,7,22.5,5.8,41.7,18.5,5,4.6,7.9,1.6,6.1,19.8,35.8,49.6,62.5,25.5,755,1234,5.4,26.2,1.1,577.8
"26","2016","Allenhurst, NJ",3,2.3,2.8,1,94.4,6.2,1.4,0.8,2.8,1.9,1.7,1.6,0,47.2,65,38.4,1021,4000,8,0,0,1907.5
"27","2016","Allentown, FL",0.8,4.1,2.1,0,95.5,9.4,5.9,1,1,0,6.9,0,0,46.3,59.8,35.4,794,1408,6.1,16.1,6.9,38.1
"28","2016","Allentown, NJ",5.2,4.9,2.9,1.9,90.2,13,7.5,0.7,3.7,1.1,3.2,1.8,3.9,67.1,75.6,25.2,1108,2396,6.8,0,1.2,3150.3
"29","2016","Alliance, NC",1.5,10.1,15.9,2.1,84.9,18.5,4.4,0,1.6,5.7,16.3,10.9,27.4,30.2,43.4,46.8,637,994,5.8,20.6,5.8,328.9
"30","2016","Alloway, NJ",2.6,0.8,2.6,2.2,89.9,6.5,4.9,1.2,0.8,2.2,17,0,0,62.5,64.5,25.4,1652,1705,6.3,3.7,2.3,212.2
"31","2016","Alna, ME",5.3,3.8,17.6,0,89.2,6.5,3.6,0.4,1.5,1.8,2,12.4,23.5,62.5,68.6,24.9,1050,1316,6.1,11.1,4.9,35.3
"32","2016","Alondra Park, CA",7.4,8.2,16.9,1.2,19.2,17.6,8.2,28.1,34.4,3.4,9.3,14.3,31.7,49,64.5,23.3,995,2025,4.9,0.5,1.8,7361.5
"33","2016","Alpine, CA",3.1,6.9,8.8,0.9,77.6,11.3,6.3,3.2,9.2,2.3,4.3,6.4,11.5,53.6,63.4,33.2,1295,2693,6,5.4,0.3,567.1
"34","2016","Altadena, CA",4.6,4.1,10.8,1.1,39.3,12,4.8,11.6,20.4,2.6,11,7.3,10.3,56.8,65.7,29.8,1425,2520,5.8,0.2,0.4,5164.3
"35","2016","Alto, CA",0,0,5.4,0,76.6,6.2,0,14.3,23.7,0,0,0,0,66.5,66.6,13.1,1748,3574,5.2,0,0,5161.1
"36","2016","Alum Rock, CA",7.7,10.8,9.1,1.6,9.1,18.3,7.5,29.9,36.2,3,9.4,5.9,9.2,52.9,66,26.9,1700,2201,5.2,0,0.6,13995.2
"37","2016","Alva, FL",3.2,8.5,8.1,1.6,92.7,13,1,3.8,5.8,0,5.2,8.1,10.9,48.1,53.2,52.6,1152,1563,5.5,18.1,5,132.5
"38","2016","Alvin, TX",4.4,10.3,16.9,3.2,58.7,15.8,7.4,9.1,10.8,1.2,14.8,14.4,21.9,50,64.2,26.9,797,1335,5,14,2.3,1050.2
"39","2016","Ama, LA",5,8.3,9.8,6.6,55.7,15.6,3.6,0.5,0.9,1.3,11.1,6.7,10.9,60.2,71.5,33.6,1012,1336,5.5,23.9,4.3,383.3
"40","2016","Amagansett, NY",0,2.2,5.3,2.1,91.1,0.7,4.3,2.1,10.1,1,2,2.8,2.7,39.1,57.5,49.2,2107,2482,6,0.7,4.1,162
"41","2016","Amelia, LA",2.9,21,34.7,2,34.3,5,5.7,25.8,28.1,0,15.8,27.5,40.6,23.5,50.6,21.6,715,837,4.7,50.5,2.5,773.1
"42","2016","American Canyon, CA",5.6,6.1,9.7,0.7,24.6,15.2,6.6,19.1,33.5,2.6,6.7,8.4,10,59.1,67.7,26.9,1616,2361,6.2,11.9,1.5,3342.8
"43","2016","Amesbury Town, MA",3.7,4.6,5.6,1.2,93.8,11.4,4.6,0.9,4.3,2.5,7.2,2.8,4.1,65.4,70.6,26.2,1053,2187,5.5,0.7,1,1393.1
"44","2016","Amesti, CA",7,9,14.5,0,27.9,17.2,6.1,23.3,27.4,2.2,4,12.3,19.3,59.7,69.5,25.3,918,2250,5.4,18.9,19.4,1071.4
"45","2016","Amityville, NY",3.5,3.1,11.3,1.2,68.1,10.9,6.7,16.5,17.2,2,8.3,7.5,18.3,54.7,65.8,35.4,1494,2743,5.9,0,0,4495.2
"46","2016","Anacortes, WA",3,3.6,10,1.3,90,9.4,5.6,1.5,6.7,2.4,6.8,7.1,10.8,47.5,55.2,41,1059,1723,5.7,2.3,1.6,1386.1
"47","2016","Anaheim, CA",5.5,10.3,16.2,2.1,26,15.6,7.2,26.9,36.9,3,11.9,13.2,24.4,55,67.6,22.9,1402,2276,4.7,3.2,0.4,6938.8
"48","2016","Anahuac, TX",5.6,11.1,25.6,0,49.6,12.8,6.2,11.2,11.8,0,20.1,19.3,32.9,39.5,46.9,38.2,793,1209,5.6,13.2,4.2,1008.3
"49","2016","Anchor Point, AK",4.4,4.5,8.5,1.6,90.2,3.8,5.6,0.3,1.7,5.1,2.5,6,8.5,46.7,55.8,35.7,843,1261,4,7,13,21.9
"50","2016","Anchorage, AK",4.2,3.9,8.1,1.9,59.8,12.1,7.4,6.1,10.3,5.5,4.1,5.6,12.3,64,70.3,17.6,1231,2004,5.3,4.3,3.6,176.8
"51","2016","Andover, MA",2.1,2.4,9.4,0.5,82.1,11.2,4.4,5.6,13,2.9,16.2,4.7,6.3,56.9,63.1,31.6,1020,2729,5.9,0,0.2,2491.3
"52","2016","Andrews, SC",9.1,14.7,29.9,3.7,29.9,26.2,8.8,1.9,2,2.3,22.8,24.8,43.6,55.2,62.3,36.7,659,862,5.5,25,2.8,1315.9
"53","2016","Angleton, TX",2.9,9.3,10.6,2.3,57,20.4,5.8,7,7.2,0.9,13.7,7.9,12.9,55.4,64.3,27.2,794,1285,5.1,8.5,2.7,1707.8
