"","Community.Name","State","Region","Latitude","Longitude","cumi_mean","ComEng","ComRel","PC1_scores_pd","PC1_scores_pc","PC1_scores_pov","PC1_scores_lf","PC1_scores_hc","Hazard","Vulnerability","Exposure","Risk","RiskCategoryM1","RiskCategoryM2"
"1","Abbeville, LA","LA","Southeast",29.9753954,-92.1271575,130.016458823529,14.686,2.585,2.05470448963269,0.820138404094731,1.41114811452073,0.452772749305667,1.27842854830588,2,4,4,32,"High","High"
"2","Aberdeen Gardens, WA","WA","West Coast",47.0573177,-123.7779156,200.40395125,-0.182,-0.12,-0.643971734461083,-0.768626036783829,-1.32696074470487,0.798587968478687,0.543493522773925,2,1,1,2,"Low","Low"
"3","Aberdeen, WA","WA","West Coast",46.9766766,-123.8097175,200.40395125,0.082,-0.105,0.358690189701997,0.173584327747239,0.509611056802435,0.430570423072456,0.691517585499321,2,2,1,4,"Medium","Moderate"
"4","Abington, MA","MA","Northeast",42.1199641,-70.9572156,288.220685217391,-0.182,-0.12,-0.587394251225904,-0.569342841523218,-1.03074209970949,-1.03415613069971,-0.119650140775846,4,1,1,4,"Medium","Moderate"
"5","Abita Springs, LA","LA","Southeast",30.4766144,-90.0293371,106.650311428571,-0.182,-0.12,-0.629794835538373,-0.517719158187696,-0.695778319587246,-1.12172733851221,0.274557059588714,1,1,1,1,"Low","Low"
"6","Absecon, NJ","NJ","Northeast",39.4235629,-74.4930249,231.919569107143,-0.182,-0.12,0.2407705899244,-0.0456732097428768,-0.744188646338999,-0.180728722794287,-0.463242522081287,2,1,1,2,"Low","Low"
"7","Acton, CA","CA","West Coast",34.4960703,-118.183897,268.26184,-0.182,-0.12,-0.216385137235092,-0.517382266295518,-0.978295094645606,-0.165182034550775,-0.850980068357785,3,1,1,3,"Low","Moderate"
"8","Acushnet, MA","MA","Northeast",41.7182175,-70.9011509,253.764891612903,-0.082,-0.111,-0.256211132790721,-0.498986045941276,-0.709715384474752,-0.389511847546626,0.394732918259998,3,1,1,3,"Low","Moderate"
"9","Addison, ME","ME","Northeast",44.5231003,-67.707431,356.763225925926,0.547,0.553,-0.250002676098755,-0.820173713757444,-0.490492322879792,0.24582326203678,1.00243527174311,4,1,3,12,"High","High"
"10","Agoura Hills, CA","CA","West Coast",34.1489422,-118.7639301,285.551411363636,-0.182,-0.12,-0.900865867839216,-0.157087399162376,-0.637630150104335,-0.660526123823297,-1.41150529154708,4,1,1,4,"Medium","Moderate"
